section_id,warehouse_id,section_name,section_type,has_refrigeration,has_climate_control,temperature_min,temperature_max
1,1,Frozen Foods,FROZEN,true,true,-18.00,0.00
2,1,Fresh Produce,REFRIGERATED,true,false,2.00,8.00
3,1,Dry Goods,DRY,false,false,15.00,25.00
4,2,Frozen Foods,FROZEN,true,true,-18.00,0.00
5,2,Electronics,DRY,false,true,18.00,22.00
6,3,Fresh Produce,REFRIGERATED,true,false,2.00,8.00
7,3,Beverages,DRY,false,false,15.00,25.00
8,4,Frozen Foods,FROZEN,true,true,-18.00,0.00
9,5,Fresh Produce,REFRIGERATED,true,false,2.00,8.00
10,5,Dry Goods,DRY,false,false,15.00,25.00
